--- Demand Distribution ---
Demand    Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Lead Time Distribution ---
Lead Time Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Simulation Log ---
day          | begin_inv    | rd_demand    | demand       | end_inv      | backorder    | order_qty    | rd_lead      | lead_time    | days_until_arrival
191          | 0            | 73           | 4            | 0            | 394          | 0            | 0            | 0            | 0           
192          | 0            | 68           | 4            | 0            | 398          | 0            | 0            | 0            | 0           
193          | 0            | 78           | 5            | 0            | 403          | 0            | 0            | 0            | 0           
194          | 0            | 96           | 5            | 0            | 408          | 0            | 0            | 0            | 0           
195          | 0            | 84           | 5            | 0            | 413          | 0            | 0            | 0            | 0           
196          | 0            | 70           | 4            | 0            | 417          | 10           | 66           | 4            | 4           
197          | 0            | 64           | 4            | 0            | 421          | 0            | 0            | 0            | 3           
198          | 0            | 51           | 4            | 0            | 425          | 0            | 0            | 0            | 2           
199          | 0            | 69           | 4            | 0            | 429          | 0            | 0            | 0            | 1           
200          | 0            | 99           | 5            | 0            | 424          | 0            | 0            | 0            | 0           
201          | 0            | 16           | 2            | 0            | 426          | 0            | 0            | 0            | 0           
202          | 0            | 90           | 5            | 0            | 431          | 0            | 0            | 0            | 0           
203          | 0            | 82           | 5            | 0            | 436          | 10           | 27           | 3            | 3           
204          | 0            | 52           | 4            | 0            | 440          | 0            | 0            | 0            | 2           
205          | 0            | 50           | 3            | 0            | 443          | 0            | 0            | 0            | 1           
206          | 0            | 18           | 2            | 0            | 435          | 0            | 0            | 0            | 0           
207          | 0            | 54           | 4            | 0            | 439          | 0            | 0            | 0            | 0           
208          | 0            | 63           | 4            | 0            | 443          | 0            | 0            | 0            | 0           
209          | 0            | 4            | 2            | 0            | 445          | 0            | 0            | 0            | 0           
210          | 0            | 85           | 5            | 0            | 450          | 10           | 92           | 5            | 5           
211          | 0            | 69           | 4            | 0            | 454          | 0            | 0            | 0            | 4           
212          | 0            | 22           | 2            | 0            | 456          | 0            | 0            | 0            | 3           
213          | 0            | 27           | 3            | 0            | 459          | 0            | 0            | 0            | 2           
214          | 0            | 41           | 3            | 0            | 462          | 0            | 0            | 0            | 1           
215          | 0            | 28           | 3            | 0            | 455          | 0            | 0            | 0            | 0           
216          | 0            | 42           | 3            | 0            | 458          | 0            | 0            | 0            | 0           
217          | 0            | 59           | 4            | 0            | 462          | 10           | 16           | 2            | 2           
218          | 0            | 47           | 3            | 0            | 465          | 0            | 0            | 0            | 1           
219          | 0            | 15           | 2            | 0            | 457          | 0            | 0            | 0            | 0           
220          | 0            | 57           | 4            | 0            | 461          | 0            | 0            | 0            | 0           
221          | 0            | 10           | 2            | 0            | 463          | 0            | 0            | 0            | 0           
222          | 0            | 23           | 2            | 0            | 465          | 0            | 0            | 0            | 0           
223          | 0            | 14           | 2            | 0            | 467          | 0            | 0            | 0            | 0           
224          | 0            | 90           | 5            | 0            | 472          | 10           | 74           | 4            | 4           
225          | 0            | 46           | 3            | 0            | 475          | 0            | 0            | 0            | 3           
226          | 0            | 51           | 4            | 0            | 479          | 0            | 0            | 0            | 2           
227          | 0            | 10           | 2            | 0            | 481          | 0            | 0            | 0            | 1           
228          | 0            | 51           | 4            | 0            | 475          | 0            | 0            | 0            | 0           
229          | 0            | 17           | 2            | 0            | 477          | 0            | 0            | 0            | 0           
230          | 0            | 15           | 2            | 0            | 479          | 0            | 0            | 0            | 0           
231          | 0            | 98           | 5            | 0            | 484          | 10           | 92           | 5            | 5           
232          | 0            | 99           | 5            | 0            | 489          | 0            | 0            | 0            | 4           
233          | 0            | 23           | 2            | 0            | 491          | 0            | 0            | 0            | 3           
234          | 0            | 9            | 2            | 0            | 493          | 0            | 0            | 0            | 2           
235          | 0            | 17           | 2            | 0            | 495          | 0            | 0            | 0            | 1           
236          | 0            | 28           | 3            | 0            | 488          | 0            | 0            | 0            | 0           
237          | 0            | 2            | 2            | 0            | 490          | 0            | 0            | 0            | 0           
238          | 0            | 35           | 3            | 0            | 493          | 10           | 21           | 2            | 2           
239          | 0            | 30           | 3            | 0            | 496          | 0            | 0            | 0            | 1           
240          | 0            | 61           | 4            | 0            | 490          | 0            | 0            | 0            | 0           
241          | 0            | 20           | 2            | 0            | 492          | 0            | 0            | 0            | 0           
242          | 0            | 63           | 4            | 0            | 496          | 0            | 0            | 0            | 0           
243          | 0            | 10           | 2            | 0            | 498          | 0            | 0            | 0            | 0           
244          | 0            | 33           | 3            | 0            | 501          | 0            | 0            | 0            | 0           
245          | 0            | 2            | 2            | 0            | 503          | 10           | 12           | 2            | 2           
246          | 0            | 76           | 5            | 0            | 508          | 0            | 0            | 0            | 1           
